City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Kaitangata,52,NZ,1604261772,67,-46.28,169.85,51.01,8.99
1,Vanimo,99,PG,1604261455,81,-2.67,141.3,78.71,4.74
2,Qaanaaq,0,GL,1604261640,74,77.48,-69.36,1.08,7.56
3,Rikitea,77,PF,1604261494,86,-23.12,-134.97,74.55,22.3
4,Vardø,75,NO,1604261772,86,70.37,31.11,39.2,26.4
5,Kapaa,1,US,1604261414,88,22.08,-159.32,80.01,0.74
6,Bredasdorp,21,ZA,1604261400,88,-34.53,20.04,64.4,8.05
7,Acapulco de Juárez,39,MX,1604261620,62,16.86,-99.89,86.72,7.99
8,Boa Esperança,29,BR,1604261668,69,-21.09,-45.57,70.88,8.72
9,San-Pédro,72,CI,1604261773,90,4.75,-6.64,77.52,5.3
10,Tuktoyaktuk,90,CA,1604261410,84,69.45,-133.04,8.6,8.05
11,Avarua,50,CK,1604261408,83,-21.21,-159.78,77.0,16.11
12,Punta Arenas,75,CL,1604261284,76,-53.15,-70.92,51.8,17.22
13,Lavrentiya,0,RU,1604261468,88,65.58,-171.0,21.83,3.78
14,Tiksi,0,RU,1604261438,90,71.69,128.87,-6.52,6.67
15,Lewistown,75,US,1604261774,100,40.6,-77.57,50.0,3.36
16,Mormugao,0,IN,1604261774,80,15.4,73.8,77.04,3.69
17,Cape Town,0,ZA,1604261140,72,-33.93,18.42,66.2,11.41
18,Carnarvon,75,AU,1604261188,68,-24.87,113.63,68.0,17.22
19,Marawi,100,PH,1604261447,91,8.0,124.29,75.0,1.99
20,Iralaya,44,HN,1604261774,83,15.0,-83.23,81.68,13.35
21,Ponta do Sol,20,PT,1604261429,83,32.67,-17.1,69.8,4.7
22,Puerto Ayora,40,EC,1604261414,69,-0.74,-90.35,78.8,18.34
23,Tevriz,100,RU,1604261775,95,57.51,72.4,32.38,7.83
24,Motygino,100,RU,1604261775,97,58.18,94.76,32.47,9.53
25,Tuatapere,16,NZ,1604261144,87,-46.13,167.68,48.99,4.0
26,Voyvozh,48,RU,1604261775,98,62.89,54.96,22.82,5.57
27,Colón,100,PA,1604261775,85,9.36,-79.9,81.0,8.99
28,Albany,100,US,1604261316,85,42.6,-73.97,48.0,1.99
29,Fengzhen,0,CN,1604261776,77,40.44,113.15,28.71,7.72
30,Billings Metropolitan Area,20,US,1604261549,26,45.78,-108.5,64.0,21.92
31,Turukhansk,100,RU,1604261404,99,65.82,87.98,27.05,8.72
32,Oriximiná,5,BR,1604261776,36,-1.77,-55.87,95.41,3.94
33,Airai,98,TL,1604261438,79,-8.93,125.41,60.37,2.17
34,Ilulissat,100,GL,1604261102,62,69.22,-51.1,19.4,9.17
35,Thompson,90,CA,1604261568,85,55.74,-97.86,21.2,11.41
36,Yārāda,0,IN,1604261777,88,17.65,83.27,78.8,2.24
37,Rawson,0,AR,1604261777,13,-43.3,-65.1,88.21,11.1
38,Luanda,75,AO,1604261686,88,-8.84,13.23,77.0,8.05
39,Kavieng,14,PG,1604261409,72,-2.57,150.8,82.81,7.36
40,Atuona,10,PF,1604261778,78,-9.8,-139.03,77.99,15.39
41,Deputatsky,92,RU,1604261778,88,69.3,139.9,-14.78,6.44
42,Tallahassee,40,US,1604261483,54,30.44,-84.28,78.8,11.41
43,Ulladulla,40,AU,1604261353,87,-35.35,150.47,59.0,4.7
44,Coyhaique,0,CL,1604261417,21,-45.58,-72.07,78.8,8.05
45,Husavik,90,IS,1604261778,59,66.04,-17.34,37.4,2.24
46,Clarence Town,90,AU,1604261778,93,-32.58,151.78,64.99,10.29
47,Gijang,75,KR,1604261779,93,35.24,129.21,55.4,2.24
48,Busselton,81,AU,1604261396,82,-33.65,115.33,55.0,5.79
49,Saint Paul Harbor,75,US,1604261581,54,57.79,-152.41,30.2,13.87
50,Lere,47,NG,1604261779,35,10.39,8.57,71.96,3.8
51,Souillac,20,MU,1604261426,64,-20.52,57.52,69.8,9.17
52,Mataura,66,NZ,1604261497,87,-46.19,168.86,48.99,4.0
53,Tura,98,IN,1604261780,96,25.52,90.22,69.48,1.99
54,Betioky,61,MG,1604261780,54,-23.72,44.38,74.91,7.2
55,Warri,100,NG,1604261780,91,5.52,5.75,77.22,5.41
56,Oyotún,0,PE,1604261781,60,-6.85,-79.3,71.6,18.34
57,Braine-le-Château,100,BE,1604261781,94,50.68,4.27,63.0,19.82
58,Nelson Bay,90,AU,1604261586,93,-32.72,152.15,64.0,10.29
59,Saint-Joseph,90,RE,1604261413,68,-21.37,55.62,68.0,5.82
60,Bluff,100,NZ,1604261400,87,-46.6,168.33,48.99,4.0
61,Guerrero Negro,22,MX,1604261475,36,27.98,-114.06,81.32,10.51
62,Kiama,90,AU,1604261782,91,-34.68,150.87,61.0,11.07
63,Lensk,0,RU,1604261483,90,60.73,114.93,-0.98,4.34
64,Erzurum Province,75,TR,1604261783,46,40.0,41.5,50.0,4.7
65,Bethel,90,US,1604261421,100,41.37,-73.41,50.0,12.75
66,Tasiilaq,92,GL,1604261427,79,65.61,-37.64,28.4,5.82
67,Clyde River,90,CA,1604261783,92,70.47,-68.59,12.2,3.36
68,Acaraú,0,BR,1604261783,72,-2.89,-40.12,82.85,18.39
69,Castro,27,BR,1604261416,62,-24.79,-50.01,64.69,8.52
70,New Norfolk,100,AU,1604261412,80,-42.78,147.06,54.0,1.92
71,Najrān,0,SA,1604261445,22,17.49,44.13,68.0,4.7
72,Hithadhoo,100,MV,1604261408,73,-0.6,73.08,83.23,11.05
73,Hobart,20,AU,1604261140,87,-42.88,147.33,55.4,5.82
74,Mar del Plata,0,AR,1604261626,59,-38.0,-57.56,66.2,9.17
75,Hirado,100,JP,1604261784,71,33.36,129.55,65.3,11.5
76,Sabang,85,ID,1604261720,78,5.89,95.32,81.59,13.82
77,Kodinsk,100,RU,1604261785,96,58.69,99.18,21.6,9.44
78,Sørland,75,NO,1604261397,70,67.67,12.69,48.2,11.41
79,Chui,0,UY,1604261431,54,-33.7,-53.46,62.82,9.28
80,Severo-Kuril'sk,0,RU,1604261424,76,50.68,156.12,40.26,3.91
81,Gaza,20,PS,1604261786,69,31.5,34.47,75.2,5.82
82,East London,81,ZA,1604261425,83,-33.02,27.91,66.25,15.23
83,Bandarbeyla,0,SO,1604261786,76,9.49,50.81,77.29,20.4
84,Chokurdakh,100,RU,1604261406,94,70.63,147.92,0.61,10.78
85,Hilo,90,US,1604261230,83,19.73,-155.09,82.0,6.93
86,Lebu,7,CL,1604261400,79,-37.62,-73.65,57.83,5.35
87,Butaritari,1,KI,1604261407,78,3.07,172.79,81.79,10.6
88,Sochi,90,RU,1604261787,93,43.6,39.73,55.4,8.95
89,Seoul,40,KR,1604261696,100,37.57,126.98,46.4,4.9
90,Aklavik,75,CA,1604261486,72,68.22,-135.01,15.8,4.7
91,Ushuaia,75,AR,1604261398,58,-54.8,-68.3,57.2,11.41
92,Jiaozuo,0,CN,1604261787,36,35.24,113.23,55.2,5.99
93,Beloha,1,MG,1604261788,80,-25.17,45.05,66.83,13.85
94,Vaini,75,TO,1604261415,88,-21.2,-175.2,75.2,8.05
95,San Quintín,0,MX,1604261453,37,30.48,-115.95,77.5,11.16
96,Sitka,90,US,1604261788,93,57.05,-135.33,44.6,7.92
97,Kampot,20,KH,1604261788,94,10.62,104.18,77.0,5.91
98,Saldanha,0,ZA,1604261789,56,-33.01,17.94,68.0,5.82
99,Lagoa,100,PT,1604261789,78,39.05,-27.98,64.6,20.02
100,Belaya Gora,54,RU,1604261482,86,68.53,146.42,-12.78,6.96
101,Paamiut,95,GL,1604261789,94,61.99,-49.67,28.0,4.43
102,Jamestown,90,US,1604261789,83,42.1,-79.24,41.0,21.81
103,Oyem,100,GA,1604261789,97,1.6,11.58,68.97,3.69
104,Belyy,99,RU,1604261789,86,55.84,32.94,39.34,7.05
105,Emilio Carranza,96,MX,1604261790,75,19.97,-96.61,73.76,13.62
106,Flinders,74,AU,1604261790,85,-34.58,150.86,61.0,3.0
107,Viedma,0,AR,1604261446,17,-40.81,-63.0,86.0,11.61
108,Mackenzie,90,CA,1604261790,80,55.3,-123.17,41.0,11.41
109,Krosno Odrzańskie,77,PL,1604261790,93,52.05,15.1,53.01,4.7
110,Port Augusta,6,AU,1604261482,82,-32.5,137.77,63.0,4.7
111,Nipawin,1,CA,1604261705,60,53.37,-104.0,41.0,16.11
112,Bud,75,US,1604261449,48,39.45,-86.18,43.0,12.75
113,Todos Santos,0,MX,1604261719,67,23.45,-110.22,82.0,5.01
114,Nara,68,JP,1604261791,79,34.69,135.8,60.01,3.0
115,Yellowknife,90,CA,1604261113,85,62.46,-114.35,17.6,8.05
116,Santa Maria,75,BR,1604261792,41,-29.68,-53.81,77.0,12.75
117,Elizabeth City,90,US,1604261792,93,36.29,-76.25,66.2,11.41
118,North Bend,1,US,1604261792,67,43.41,-124.22,70.0,3.36
119,Nikolskoye,90,RU,1604261396,95,59.7,30.79,32.0,6.71
120,Padang,100,ID,1604261792,72,-0.95,100.35,78.24,2.71
121,Kahului,20,US,1604261448,62,20.89,-156.47,84.2,5.82
122,Osmeña,100,PH,1604261793,77,10.52,119.93,82.02,8.81
123,Rodionovo-Nesvetayskaya,75,RU,1604261793,93,47.61,39.71,57.2,11.18
124,Harper,71,LR,1604261793,87,4.38,-7.72,78.04,6.08
125,Along,32,IN,1604261793,85,28.17,94.77,64.76,1.05
126,Palu,100,ID,1604261793,79,-0.89,119.87,76.32,1.79
127,San Patricio,20,US,1604261480,39,28.02,-97.52,82.99,16.11
128,Arrondissement de Limoges,0,FR,1604261793,82,45.75,1.33,60.01,5.82
129,Port-Gentil,40,GA,1604261457,94,-0.72,8.78,78.8,6.93
130,Peniche,100,PT,1604261470,90,39.36,-9.38,66.0,1.99
131,Laibin,100,CN,1604261794,70,23.7,109.27,68.9,10.85
132,Port Elizabeth,23,ZA,1604261433,82,-33.92,25.57,64.4,13.87
133,Iqaluit,40,CA,1604261131,78,63.75,-68.51,10.4,4.7
134,Katsuura,40,JP,1604261794,72,35.13,140.3,59.0,3.36
135,La Ronge,100,CA,1604261407,65,55.1,-105.28,41.0,5.82
136,San Cristobal,40,VE,1604261398,58,7.77,-72.22,86.0,4.7
137,Araouane,94,ML,1604261795,13,18.9,-3.53,87.57,5.41
138,Issia,43,CI,1604261795,95,6.49,-6.59,73.62,3.49
139,Newton,90,US,1604261795,66,42.34,-71.21,50.0,6.93
140,Saint Anthony,1,US,1604261434,34,45.02,-93.22,37.99,12.75
141,Vao,100,NC,1604261796,84,-22.67,167.48,74.23,17.43
142,Esna,0,EG,1604261796,48,25.29,32.55,73.36,10.33
143,Khasan,0,RU,1604261796,62,42.43,130.64,42.33,13.89
144,Bambous Virieux,20,MU,1604261436,64,-20.34,57.76,69.8,9.17
145,Magdagachi,99,RU,1604261796,91,53.45,125.8,15.3,8.93
146,Geraldton,40,AU,1604261454,93,-28.77,114.6,55.4,12.75
147,Burgeo,1,CA,1604261796,69,47.62,-57.62,40.46,15.57
148,Nemuro,100,JP,1604261648,81,43.32,145.57,57.0,21.85
149,Alofi,34,NU,1604261387,94,-19.06,-169.92,75.2,10.29
150,Port Lincoln,65,AU,1604261288,66,-34.73,135.87,62.29,10.54
151,Hermanus,0,ZA,1604261413,82,-34.42,19.23,63.0,4.0
152,San Luis,5,AR,1604261702,16,-33.3,-66.34,82.51,3.67
153,Vila Franca do Campo,75,PT,1604261468,94,37.72,-25.43,69.8,12.75
154,Santa Isabel Rio Negro,45,BR,1604261797,69,-0.41,-65.02,81.37,4.05
155,Chhor,0,PK,1604261797,18,25.52,69.77,77.68,7.25
156,Bengkulu,100,ID,1604261401,87,-3.8,102.27,75.18,3.85
157,São João da Barra,75,BR,1604261472,69,-21.64,-41.05,73.4,23.04
158,Raja,100,SS,1604261451,74,8.46,25.68,75.2,3.98
159,Fort Nelson,90,CA,1604261758,78,58.81,-122.7,15.8,11.41
160,Arraial do Cabo,75,BR,1604261422,69,-22.97,-42.03,73.4,12.75
161,Sept-Îles,100,CA,1604261762,64,50.2,-66.38,37.4,4.7
162,Yichun,98,CN,1604261798,96,47.7,128.9,27.25,7.96
163,Hasaki,20,JP,1604261397,100,35.73,140.83,53.6,3.36
164,Saskylakh,99,RU,1604261399,88,71.92,114.08,-9.26,10.67
165,Hong Kong,100,HK,1604261348,73,22.29,114.16,75.0,1.01
166,Gopālpur,43,IN,1604261799,80,19.27,84.92,78.3,2.62
167,Bograd,0,RU,1604261799,92,54.23,90.83,28.4,4.47
168,Roura,0,GF,1604261799,78,4.73,-52.33,82.4,5.82
169,Necochea,59,AR,1604261800,53,-38.55,-58.74,68.61,10.83
170,Mount Isa,0,AU,1604261460,23,-20.73,139.5,64.4,1.12
171,Kruisfontein,28,ZA,1604261800,76,-34.0,24.73,64.99,4.0
172,Naryan-Mar,100,RU,1604261800,97,67.67,53.09,28.72,15.41
173,Ostrovnoy,100,RU,1604261800,90,68.05,39.51,36.48,19.35
174,Hamilton,1,US,1604261355,37,39.18,-84.53,50.0,20.8
175,Esperance,90,AU,1604261416,100,-33.87,121.9,62.6,8.05
176,Ulaangom,65,MN,1604261396,95,49.98,92.07,24.84,3.33
177,Dikson,96,RU,1604261801,98,73.51,80.55,19.63,9.06
178,Amahai,100,ID,1604261801,92,-3.33,128.92,82.0,3.96
179,Weligama,5,LK,1604261801,84,5.97,80.42,77.29,6.04
180,Xingyi,90,CN,1604261801,99,24.19,102.82,58.95,2.8
181,Forbes,0,AU,1604261801,83,-33.38,148.02,54.0,5.01
182,Shawinigan,100,CA,1604261770,81,46.57,-72.75,42.8,3.36
183,Xinmin,0,CN,1604261802,63,41.99,122.83,26.6,4.47
184,Sobradinho,100,BR,1604261802,85,-12.83,-39.1,78.1,5.59
185,Raymondville,1,US,1604261802,37,26.48,-97.78,84.2,20.8
186,Nowy Targ,75,PL,1604261802,93,49.48,20.03,43.0,1.12
187,Breyten,90,ZA,1604261802,88,-26.3,29.99,53.91,10.31
188,Mosquera,75,CO,1604261681,67,4.71,-74.23,62.6,12.75
189,High Wycombe,100,GB,1604261616,95,51.63,-0.75,63.0,4.0
190,Codrington,70,AU,1604261803,81,-38.27,141.97,49.1,8.55
191,Mulegé,0,MX,1604261803,26,26.88,-111.98,87.13,11.18
192,Faanui,33,PF,1604261408,80,-16.48,-151.75,79.9,23.73
193,Korla,0,CN,1604261445,61,41.76,86.15,34.0,8.99
194,Fes,0,MA,1604261804,52,34.04,-5.0,64.4,10.29
195,Makīnsk,100,KZ,1604261804,92,52.63,70.42,36.19,6.62
196,Noumea,0,NC,1604261255,57,-22.28,166.46,79.0,2.24
197,Cairns,75,AU,1604261414,77,-16.92,145.77,69.8,11.41
198,Scarborough,91,GB,1604261804,92,54.28,-0.4,59.0,11.99
199,Egvekinot,24,RU,1604261804,90,66.32,-179.17,9.93,3.24
200,Whitianga,100,NZ,1604261805,81,-36.83,175.7,68.0,4.0
201,Suez,100,EG,1604261805,66,29.97,32.53,70.93,12.08
202,Baillif,65,GP,1604261805,83,16.02,-61.75,84.2,9.17
203,Port Alfred,60,ZA,1604261513,81,-33.59,26.89,66.11,21.09
204,Cayenne,0,GF,1604261454,78,4.93,-52.33,82.4,5.82
205,Aras,0,ES,1604261806,87,42.56,-2.36,60.01,1.14
206,Kavaratti,0,IN,1604261403,71,10.57,72.64,81.88,4.29
207,Hualmay,70,PE,1604261806,66,-11.1,-77.61,68.34,9.86
208,Prince Rupert,90,CA,1604261806,87,54.32,-130.32,55.4,20.8
209,Arona,0,ES,1604261806,33,28.1,-16.68,77.0,17.22
210,Caravelas,100,BR,1604261448,92,-17.71,-39.25,69.69,12.57
211,Aberdeen,75,GB,1604261678,81,57.14,-2.1,50.0,24.16
212,Bubaque,0,GW,1604261807,75,11.28,-15.83,83.82,15.21
213,Novobelokatay,16,RU,1604261807,95,55.71,58.95,29.53,3.11
214,Kostino,0,RU,1604261807,98,58.91,53.27,26.96,2.28
215,Tulu Bolo,38,ET,1604261807,57,8.67,38.22,55.45,8.21
216,Vangaindrano,100,MG,1604261807,81,-23.35,47.6,69.71,5.19
217,Alexandria,87,EG,1604261807,62,31.22,29.96,72.32,12.17
218,Mahébourg,20,MU,1604261453,64,-20.41,57.7,69.8,6.93
219,Buchanan,78,LR,1604261808,88,5.88,-10.05,78.42,8.43
220,Ngaoundéré,79,CM,1604261808,58,7.32,13.58,69.53,2.98
221,Klaksvík,97,FO,1604261119,100,62.23,-6.59,42.8,2.24
222,Chaoyang,0,CN,1604261808,63,41.57,120.46,33.62,5.73
223,Tupelo,1,US,1604261765,21,34.26,-88.7,69.8,14.99
224,Forsytheganj,100,BY,1604261808,85,52.63,29.73,44.01,7.67
225,Manta,40,EC,1604261808,65,-0.95,-80.73,82.4,10.29
226,Nome,75,US,1604261437,85,64.5,-165.41,12.2,4.88
227,Požarevac,0,RS,1604261809,93,44.62,21.18,37.4,2.24
228,Te Anau,100,NZ,1604261366,83,-45.42,167.72,44.67,2.3
229,Bathsheba,75,BB,1604261423,74,13.22,-59.52,84.2,20.8
230,Abu Dhabi,0,AE,1604261697,65,24.47,54.37,82.4,3.36
231,George Town,20,MY,1604261266,88,5.41,100.34,78.8,3.36
232,Katherine,8,AU,1604261809,41,-14.47,132.27,75.2,1.86
233,Pisco,90,PE,1604261406,77,-13.7,-76.22,66.2,9.17
234,Buala,99,SB,1604261809,77,-8.14,159.59,82.06,5.35
235,Tulum,40,MX,1604261810,70,20.22,-87.47,84.2,16.11
236,Bilma,0,NE,1604261451,23,18.69,12.92,73.9,7.05
237,Fereydūnkenār,83,IR,1604261810,54,36.69,52.52,72.77,3.96
238,Mutuípe,98,BR,1604261810,87,-13.23,-39.5,77.68,3.85
239,Hay River,100,CA,1604261350,92,60.82,-115.8,19.4,16.11
240,Isangel,10,VU,1604261810,77,-19.55,169.27,77.4,14.88
241,Kaeo,100,NZ,1604261469,88,-35.1,173.78,66.0,1.01
242,Bilibino,82,RU,1604261810,83,68.05,166.44,2.82,0.76
243,Zhigalovo,0,RU,1604261811,87,54.81,105.16,14.36,1.92
244,Vestmannaeyjar,0,IS,1604261457,74,63.44,-20.27,37.4,16.11
245,Khatanga,100,RU,1604261398,92,71.97,102.5,2.75,5.3
246,Upernavik,96,GL,1604261306,93,72.79,-56.15,16.34,4.03
247,Karaton,20,ID,1604261811,88,-6.34,106.1,78.01,16.11
248,Pacific Grove,1,US,1604261434,25,36.62,-121.92,75.99,5.82
249,São Filipe,38,CV,1604261444,77,14.9,-24.5,79.23,10.49
250,Ribeira Grande,75,PT,1604261406,82,38.52,-28.7,62.6,8.05
251,Gayéri,0,BF,1604261812,18,12.65,0.49,85.33,9.4
252,Saint George,1,US,1604261469,12,37.1,-113.58,69.8,3.06
253,Pangnirtung,75,CA,1604261455,67,66.15,-65.71,17.6,3.62
254,Chapais,90,CA,1604261489,99,49.78,-74.85,32.0,11.41
255,Freeport,90,US,1604261812,87,40.66,-73.58,55.99,10.29
256,Victor Harbor,95,AU,1604261812,60,-35.57,138.62,68.0,7.47
257,Slave Lake,1,CA,1604261812,50,55.28,-114.77,53.6,26.4
258,Phan Thiet,100,VN,1604261812,88,10.93,108.1,75.79,4.03
259,Mezen',80,RU,1604261813,97,65.85,44.24,30.0,9.08
260,Whakatane,100,NZ,1604261813,71,-37.96,176.99,62.01,2.82
261,Norman Wells,40,CA,1604261409,65,65.28,-126.83,6.8,9.17
262,Gemeente Wageningen,75,NL,1604261813,93,51.97,5.67,63.0,12.75
263,Jianning,75,CN,1604261813,93,27.83,113.15,57.2,4.47
264,Constitución,62,CL,1604261399,72,-35.33,-72.42,59.38,8.46
265,Siniscola,20,IT,1604261814,87,40.57,9.69,55.4,2.24
266,Mananara,15,MG,1604261814,82,-16.17,49.77,65.34,4.29
267,Los Llanos de Aridane,0,ES,1604261424,24,28.66,-17.92,78.8,6.93
268,Haines Junction,100,CA,1604261418,66,60.75,-137.51,12.2,3.36
269,Puerto Baquerizo Moreno,75,EC,1604261541,78,-0.9,-89.6,75.2,8.05
270,Poum,0,NC,1604261814,75,-20.23,164.02,76.93,13.82
271,Kawalu,40,ID,1604261693,93,-7.38,108.21,70.79,2.33
272,Ancud,19,CL,1604261643,59,-41.87,-73.82,68.0,8.05
273,Hofn,0,IS,1604261815,69,64.25,-15.21,39.33,12.91
274,Dingle,100,PH,1604261815,88,11.0,122.67,75.65,5.5
275,Port Shepstone,100,ZA,1604261816,90,-30.74,30.45,64.08,15.21
276,Lázaro Cárdenas,0,MX,1604261816,57,17.96,-102.2,87.28,7.87
277,Solnechnyy,100,RU,1604261816,96,50.72,136.63,31.17,4.18
278,Lunenburg,100,CA,1604261816,87,44.38,-64.32,52.0,16.11
279,Kédougou,0,SN,1604261816,34,12.56,-12.17,82.33,2.82
280,Mount Gambier,57,AU,1604261459,93,-37.83,140.77,48.2,6.93
281,Kamariótissa,20,GR,1604261816,75,40.48,25.47,50.0,3.36
282,Matagami,90,CA,1604261817,99,49.75,-77.63,32.0,3.36
283,Kaliua,99,TZ,1604261817,37,-5.06,31.79,78.42,0.58
